01_TB_HOKKAIDO,02_TB_AOMORI,03_TB_IWATE,04_TB_MIYAGI,05_TB_AKITA,06_TB_YAMAGATA,07_TB_FUKUSHIMA,08_TB_IBARAGI,09_TB_TOCHIGI,10_TB_GUNNMA,11_TB_SAITAMA,12_TB_CHIBA,13_TB_TOKYO,14_TB_KANAGAWA,15_TB_NIIGATA,16_TB_TOYOAMA,17_TB_ISHIKAWA,18_TB_FUKUI,19_TB_YAMANASHI,20_TB_NAGANO,21_TB_GIFU,22_TB_SHIZUOKA,23_TB_AICHI,24_TB_MIE,25_TB_SHIGA,26_TB_KYOTO,27_TB_OSAKA,28_TB_HYOGO,29_TB_NARA,30_TB_WAKAYAMA,31_TB_TOTTORI,32_TB_SHIMANE,33_TB_OKAYAMA,34_TB_HIROSHIMA,35_TB_YAMAGUCHI,36_TB_TOKUSHIMA,37_TB_KAGAWA,38_TB_EHIME,39_TB_KOCHI,40_TB_FUKUOKA,41_TB_SAGA,42_TB_NAGASAKI,43_TB_KUMAMOTO,44_TB_OITA,45_TB_MIYAZAKI,46_TB_KAGOSHIMA,47_TB_OKINAWA,Date
61,19,18,22,14,10,26,32,28,15,99,152,243,115,34,15,18,12,5,15,43,57,97,25,14,165,159,93,26,14,8,11,22,46,22,14,16,19,6,75,16,20,25,16,19,40,32,Feb-05
99,26,14,15,12,15,20,47,33,31,122,190,317,140,20,9,18,8,16,22,29,64,122,30,22,145,209,105,23,20,13,14,29,39,20,16,29,24,12,102,17,34,37,20,18,43,36,Mar-05
56,23,18,32,12,16,23,38,47,20,105,159,321,164,31,15,16,7,10,25,45,78,120,31,15,175,187,115,24,30,14,9,29,63,20,18,28,20,17,88,10,25,22,24,16,42,22,Apr-05
73,30,19,23,15,16,22,45,20,24,105,168,331,154,35,22,18,16,10,14,36,63,135,23,29,156,197,115,22,19,2,12,27,53,22,13,32,15,9,106,24,43,25,23,17,41,31,May-05
78,28,17,34,21,14,26,50,25,34,121,189,372,170,33,17,22,11,15,24,46,58,152,43,19,159,252,127,40,17,7,15,29,65,25,17,22,21,18,95,20,35,40,22,19,51,34,Jun-05
91,21,17,28,14,15,22,43,36,25,98,187,383,161,27,23,16,15,12,18,43,79,129,24,25,178,209,123,25,28,14,14,36,41,35,20,25,28,12,97,17,35,35,27,14,29,25,Jul-05
63,24,12,24,18,13,33,39,32,29,125,171,313,154,33,15,17,14,11,21,49,63,156,27,20,160,200,113,29,20,11,7,23,46,22,19,14,28,15,91,23,28,24,19,19,33,22,Aug-05
75,29,17,21,16,17,24,43,41,24,98,163,330,147,31,21,14,12,7,15,49,67,129,29,22,146,186,87,25,20,11,18,36,48,32,15,19,26,15,103,15,22,37,23,16,27,18,Sep-05
58,16,19,23,15,18,25,39,28,26,114,160,281,156,23,22,20,11,6,15,27,54,118,26,19,140,198,89,35,32,9,7,24,65,21,15,24,26,17,83,17,25,39,23,18,29,22,Oct-05
44,19,14,21,22,9,20,36,21,22,111,152,305,119,32,16,15,11,17,20,45,45,117,23,18,123,171,87,26,22,7,10,21,44,18,13,17,19,17,77,12,22,35,20,8,40,18,Nov-05
67,22,12,18,8,14,19,44,22,23,103,160,287,149,26,16,13,8,10,21,40,50,89,42,17,133,200,78,24,21,13,5,21,43,25,23,13,22,14,91,17,33,41,24,16,30,21,Dec-05
48,22,17,18,13,5,12,43,24,19,77,135,260,115,24,19,15,9,9,20,32,69,172,23,15,66,119,75,23,12,9,9,21,40,13,13,15,18,10,75,8,26,27,17,16,17,16,Jan-06
54,21,16,22,11,14,18,45,18,27,108,147,231,118,24,8,13,15,6,18,44,91,188,26,19,54,120,109,23,18,5,10,27,39,30,15,17,19,11,74,11,20,21,18,10,28,25,Feb-06
58,32,7,31,12,16,26,49,20,16,111,149,284,127,27,8,29,11,8,25,46,80,199,32,13,75,152,86,34,11,4,10,31,59,27,18,22,20,13,81,9,25,32,24,20,35,28,Mar-06
45,24,19,13,12,14,16,43,15,27,82,145,248,138,32,15,22,14,15,14,33,67,180,29,20,54,157,101,29,25,10,9,18,42,23,12,13,25,10,82,12,28,22,21,22,32,18,Apr-06
